context,response
I don't want them.,Okay.
I'll see you tomorrow.,They didn't split up. She wouldn't take the tickets.
"Of course. Windtalker code for ""we nEver split up."" House, she told you multiple times she wants nothing to do with you.","I wasn't gonna be there. She just felt guilty that I felt guilty, so she couldn't take them."
Either that or she didn't want to appease you.,"These weren't reparations. Just a simple gesture of remorse, and she slapped it down. They didn't break up. She just wanted me to think that so I'd back off."
Dare I ask what you're gonna do?,Nothing. I said they'd either break up or they'd stay together. They didn't break up.
And you're okay with that?,It is what it is.
Good for you.,Aah.
Oh. How the...,"Well, I guess it would be nice, if I could touch your body, I know not Everybody has got a body like you. Baaby."
"You know, most people go for the hardwood or carpeting. I think guitars and garbage work just as well.",Got the urge to play last night. Had to go all the way back to my apartment. Thought I'd save on future trips.
Hmm. That's very eco-friendly of you. How about keeping down on the noise pollution?,6:33. You should be flossing by now.
Ah. Ah.,Is it that time of year again? He's a self-important jerk.
He's my friend.,He's a self-important jerk.
Seems to be what I'm attracted to.,Guy calls you Jim. Doesn't Even know your name.
I just had a House moment. Diagnosed Transverse Myelitis from a cold sore. How cool is that? Patients really eat that crap up.,It's why I'm loved. What am I doing here?
Ultrasound is clear.,"Which means he's definitely not pregnant, right?"
"I'm joining you, Antonio Aguilar. We'll play in God's MariaPark band.",Draw some blood. The self-important jerk does not have Transverse Myelitis. He's got cancer.
How do you Even--,"Okay. Maybe I paid the redhead down in records a few bucks to CC me on all your cases. A few Patients die, you might get sad again. Make a speech that would end your career. Frankly, I'm stalking you for you. How long does a simple blood draw take?"
Almost finished.,"Well, when you're finished almost finishing it, test it."
Confusion. Delirium.,Why rule out the hand of God so fast?
Why rule out the hand of God so fast?,Your guy's low white count and right arm paralysis equals a recurrence of his leukemia. Simple math.
Did you look past the first page of the file? No AML cells anywhere. I did the blood smears myself.,It's still cancer. You know how I know? He's got an oncologist for a doctor.
And your magical leukemia detector is more powerful than a flow cytometer?,"I look for zebras because other doctors rule out all the horses. In this case, you are those other doctors. You haven't earned a zebra. 100 bucks."
Are you serious?,"Look, friends don't diagnose friends with cancer. I get it. Your pRoblem is you're not objective. Your caring is clouding your diagnosis. Just cut that out and you could be a pretty decent doctor."
"Look, friends don't diagnose friends with cancer. I get it. Your pRoblem is you're not objective. Your caring is clouding your diagnosis. Just cut that out and you could be a pretty decent doctor.",Just give me the lactic acid lEvel.
27,"The fact that you can't speak English is not an excuse for you not being humiliated by what I'm about to say. It's also not an excuse for you not telling us that you were a tennis pro. If you had, we wouldn't have wasted our time."
"Thanks, Doc.",Hey. Can a guy get a little privacy?
Nice hiding spot.,"Actually, it's perfect. It allows me to hide from Cuddy and find you. What did she want?"
She was checking up on Tucker thanks to you.,That's it?
Like what? Something about you? Something you could interpret as being about you? An anagram maybe? It'd be great if you could play hide and seek somewhere else. My Patient--,No pRoblem. Just give me the 100 bucks you owe me and I'm gone.
Tucker doesn't have cancer.,"He doesn't have a ball of fungus in his lungs either. Next time you want to use my team, I suggest you at least leave a tip."
There's nothing to talk about.,Why are you doing surgery when I need you finding me a new case?
You don't want a new case.,"Oh, right. Guess I'm here for Wilson. Obviously you didn't tell me that Cuddy was moving in with Lucas 'cause you were protecting me. Which is odd since I told you that I'm fine with their relationship. So obviously, you question one of those assumptions or you have an issue with logic."
"Yes, you're fine with them dating. But moving in together is a whole other lEvel of commitment.","This is the 21st century, Wilson. I realize that the logical course of any adult relationship could one day lead to fornication. Although, the fact that she wants to buy a loft, could actually mean that their relationship is not as serious as I thought."
"Oh, for God's sake, House, don't do this to yourself. It's a loft. It has no deeper meaning than open-space living arrangement.",If you bought into her diatribe about rediscovering her lost city girl roots. And two bedrooms. It just reeks of commitment issues.
Yeah. Or she has a baby.,This is classic mid-life Cuddy crisis. This is her version of a two-seat convertible.
"Wilson, he's got global lung damage. Means it's not fungal. It's PCP pneumonia.","Hmm. Obviously something is knocking out his immune system. Three options. HIV, acquired SCID, or my personal favorite, cancer. I'm sure you'll test for all three."
Thanks. The treatment indiCate--,"Oh, I'm sorry. I didn't realize you were in the middle of something."
"It's a conference room, with glass walls. You thought I'd be alone?",Your Patient has cancer. Not that guy. Who pRobably also has cancer. And he's pRobably also your buddy. Thought you'd want to know. And you owe me 100 bucks.
Coming through. House got a new case.,"Revised OR schedule. Sorry, Wilson, had to bump you. It's not like your guy's bleeding out of his eyes."
"House, your guy's not bleeding out of his eyes either.",The nurse who books the OR thinks he is.
Your case is no more urgent than mine.,"Yeah, but you're way more Patient."
Maybe not.,We just removed a screw from a guy's lung. And the weird thing is he didn't get better. Any idea what that means?
It means you're not listening to me.,No. It means I'm ignoring you to make a point. There is a difference.
The pRoblem with that technique is I have no idea what point you're making.,"That your idea is implicitly not worth responding to. Doubling your Patient's chemo dose is stupid. Damn, now it's explicit."
It could swamp out the resistance of the cancer cells.,The fact that it theoretically should work doesn't make it any less stupid.
Of course it does. It's exactly what you would do.,I'm me. You're you.
And a table is a table.,"And chemo is poison. And double chemo is double poison. And I can handle it when things go wrong. You can't. And things could go very,"
"Either way, he's dead. We can't stop the oozing.",Don't care. I'm here because it's 1:15 and Wilson started testing at 12:45. Which means...
He needs a new liver.,Look on the bright side. You can publish the results of this case study. No one will Ever double the dose again.
"I'm sorry, Mel. You and Emily don't match Tuck's blood type. And neither does Ashley. So a live liver donation is out. The best thing to do is just what you've been doing. Be together.",Hope he already told you that you're gonna die. 'Cause it's gonna make what I'm about to say a lot more relevant.
"House, I know it's raining out there in the hallway, butï¿½","I was just in the ER, testing my Patient for autonomic dysfunction. It's the only department with a shower big enough for the whole team, plus the cardiac monitors, plus me. Anyway, relevant part, we're just wheeling the guy out, trauma came in. Motorcycle versus semi."
How bad?,Bad for the motorcycle. Good for your liver. Blood type's a match.
Why wasn't I paged?,Because there's a pRoblem. No organ donor card. Dead guy's sister
Where is she?,20 minutes away.
"How do you get the call that your brother's dead and then run out the door? ""Oh--oh--oh, that reminds me, I-I had dry cleaning to pick up.""",Did Cuddy buy the place?
Not yet. You okay?,Just making conversation. Yours was getting boring.
What are you planning?,I'm not planning anything.
And I don't beliEve you. How are you gonna punish her for dating Lucas?,"Okay, now this conversation is getting boring."
Are you really okay?,No! I am not okay. Not Even close.
"Wow. Okay. See, that's very adult of you.","No, it isn't. It's just me accepting the fact that there's nothing I can do and moving on."
"Which is, I think, the definition of adulthood.","Well, if it is, being a kid is a lot more fun."
"Well, if it is, being a kid is a lot more fun.",Showtime.
It will save my Patient's life.,What if I told you that he wasn't dead?
Are you saying my brother is still alive?,I'm saying you're being an idiot. But I don't have time to talk you out of your religion so I'm stuck with giving you a technicality that will let you justify
House.,The last generous act of a living person.
"House, it's too late. The liver's started to degrade. It's no longer viable for transplant.",Well played. Religion just killed another person.
"Tucker, it's... I can't.",Late night with the Pigeon sisters?
"""I'll nEver betray the secret of the bushido of the heel""ï¿½]",Someone's cranky. And late. Where were you?
getting a drink. What--why are all my frozen dinners thawing on the counter?,I needed room for my margarita jello shots. I used test tubes as bottles so they'll be shaped like my cane.
I needed room for my margarita jello shots. I used test tubes as bottles so they'll be shaped like my cane.,Why'd you go out drinking alone when you got such great company here?
Tucker wants me to donate a lobe of my liver to him.,And you were out drinking. So you're actually considering this?
Yeah. I was out marinating my liver in alcohol to get it ready for the transplant. Yeah.,"Your mouth says no, but your pathetic attempt at a deflection has guilt written all over it."
It's my fault. It is my fault! I gave him too much chemo.,You cured his cancer.
And killed him in the process.,Quibbles.
Quibbles.,He's had a predictable complication. Surprise. Bad things happen to people who are sick. Doesn't make you responsible.
"Oh, no--not legally. Ethically. Ethically!","A table is a table. Don't be a doormat, Wilson."
Call me a doormat-- get it all out of your system-- but I'm doing it.,Why?
He's my friend.,I'm your friend. All the pain pills I've taken. What if I need your liver?
Right. How selfish of me not to have considered your possible future needs.,They're all dying. They're all your friends.
"I'm not here for an argument, House.","No, right, that's room 12A. So why are you here? Want to make sure that I've called the moving van?"
"No. The operation is in two hours, and I'd like you to be there with me.",No.
What-- why?,"Because if you die, I'm alone."
"Actually, it's James.",You ready to admit that he's a self-important jerk?
I still feel good about what I did.,You don't feel angry?
Ah. I'm a little disappointed.,Disappointment is anger for wimps. You don't have to be so gentle about Everything. It's okay to get angry once in a while.
You can't change a table.,"Actually, you can. Just need a coat of paint and the guts to use it."
Bonnie told me what Cuddy bid.,You're gonna outbid her?
We do need a bigger refrigerator. She hurt my friend. She should be punished.,You got mad. I'm proud of you. Cuddy won't share that sentiment. How are you gonna explain it to her?
I'm changing our address to a P.O. box.,She'll find out Eventually.
Bonnie. I'll take it.,Baby steps.
We almost done here?,"Assuming you did this shaving your forehead... Okay, then. I'm ordering a head C.T."
You gotta stay here. We'll straighten out that mess with Marco tomorrow. Let the doc do his job.,"Actually, stitParkng you up is really the E.R. doc's job."
Yeah. Too long of a wait.,"Yeah. Also, a lot of cops in the E.R. Not that you care about that. So how did this happen? Yeah, you're right. That was a stupid question. 'Cause the answer's kind of obvious. No scrapes on your hands means you didn't try to break your fall. Means either out cold or totally disoriented when you went down. No sign of trauma other than the cut means no one hit you in the head. Powder burn on your jacket sleEve means someone shot a gun."
"All right, Eddie. Come on, let's go.","I don't care what you guys are into. If you don't get this checked out, it'll happen again."
Whoa. What will?,This. Cool.
This. Cool.,"32-year-old Man, recent dEveloped loud-noise-induced vertigo. C.T. was clean. No internal bleeding, no edema. Everything else is in the file. Cameron get your hair in the divorce?"
This guy strained his back three years ago. And that's it. All the rest of these pages are blank.,"Yes, he won't tell us anything. Understandable, since he's a drug dealer."
He actually said he was a drug dealer?,"Not out loud. But he was wearing a solid gold Patek Philippe. His friend had a Rolex. But their phones were prepaid burners, so they can toss 'em as soon as they're done."
"It doesn't matter if this guy's a drug dealer or not. Noise-induced vertigo means ear or brain. Head C.T. was clean, so I'm thinking acoustic neuroma. We need to do an A.B.R. to test his hearing.","Acoustic neuroma fits. So does lidocaine toxicity. Or benzocaine ""ï¿½ depends what he's cutting the coke with."
"So now he's not just a drug dealer, he's a cocaine dealer.",He seemed peppy. You test his ears. I'm gonna go test his cocaine.
You think this guy's just gonna hand over a briefcase full of illegal drugs because you ask nicely?,I hope not.
"I make that much money. And... apparently, you don't.",I need the drugs.
We're in textiles.,I need the drugs! Hmm... works for Jack Bauer.
Is this really necessary? The chairs in the hall are way more comfortable.,"But way less genre-appropriate. Okay, here's the deal. I need information. You have reasons not to give me that information. So either I can force it out of you... or I can't."
I wish I could tell ya.,"Okay... Well, let's work with that. Forget the drugs. Let's talk about textiles. What's your major product? Is it ""h""? And by that I mean ""hosiery."""
We do more with... culottes.,"Is that with a ""c"" or a ""k""?"
"""C."" Nobody wants ""k"" anymore.",Does your friend cut the fabric?
"No, he's a sales guy.","Well, he must cut a culotte here and there."
I'm sorry. Can I talk to you for a second?,I'm interrogating a suspect. Make it quick.
Everyone in our building thinks we're gay.,We're grown men over the age of 30 who moved in together. We're two tigers away from an act in Vegas. They'll figure out we're straight Eventually.
Any chance I could get some water over here?,"If only there was some way to communiCate that information to her. Perhaps using, I don't know, sounds. If only the larynx was capable of ""ï¿½"
She didn't beliEve me. She sidestepped my dinner invite.,And a Woman would only reject you because she's worried that you might not be interested in her.
"We were chatting, having fun. There was definitely a sPark.","When she thought you were gay. You sure your friend isn't secretly tr ""ï¿½ What is a culotte, anyway?"
Mickey hates the stuff. He's one of the few guys I trust to watch the product overnight. They took him away an hour ago. You think he's okay?,It's an ear test. Pretty sure he'll live.
Which means we can stop the bloodhound gang routine and go back to being doctors.,But we're doctors all the time. It's so boring. Fine.
"Thought I'd give myself a little treat. What if it's not his brain, but it's on the way to his brain? Carotid stenosis.",Get an ultrasound of his carotids. See if his arteries are clogged.
You bugged his room?,"Our Patient sleeps in the building where they keep their stash. Eventually, he'll say something that gives away where that is. And we'll find out what's making him sick."
But we ruled out environmental causes.,You ruled out environmental causes.
"And you pretended to agree, just so we'd take him out of his room so you could plant the bug.",Carotid stenosis was a decent idea. But an Even decent-er idea is that he's got toxins stored in his fat cells. Every calorie he burns makes him sicker.
Bug's a better idea than blindly running tests for days.,Tell him it'll take weeks. It'll be faster.
Shut up.,"3-B? You're Nora, right? My roommate tells me you're the one to thank for all the tips about the neighborhood. Greg."
Nice to meet you.,"I hear you thought that Wilson and I liked to polish each other's swords. And by swords, I mean pistols."
Of course he told you about that.,"Oh, don't worry. Actually, I'm surprised that doesn't happen more often. We're both straight. Oh, my... God, that is beautiful. We finally have the room to display it the way it deserves. Would you ""ï¿½ would you help me get this upstairs?"
Absolutely.,"Nice shoes, by the way. Louboutin?"
"Patient went out, came back worse than before. Points us back to environmental, tied to wherEver he went.","No, it doesn't. Where's Foreman?"
"What do you mean, ""No, it doesn't""? We screwed up the tail. My car was impounded.","True, amusing, and irrelevant. Foreman fall for the paycheck thing?"
"Uh, yeah.",Mazel tov. Should be fun to watch.
You're off environmental?,"WherEver he went, it wasn't for long enough. Add in the fEver and infection's way more likely. And if it is an infection, his symptoms suggest it's moved to his brain. Which means..."
I ran into Nora this morning. She told me about your Evita listening party.,The London and New York recordings are so different.
You were supposed to tell her that we're straight.,"She didn't beliEve me, either."
You're doing this to mess with me.,"Correction ""ï¿½ I started doing this to mess with you. Now I'm honestly trying to hit that."
By pretending you're gay and in a relationship with me?,"We're in a relationship and we're really unhappy. Communication's nEver been easy for us. PRobably 'cause we're so closeted. I got it all figured out. Nora and I spend the next few weeks hanging out, become best girlfriends. I confide in her about our issues."
I can't decide if this plan is more despicable or illogical.,"Then, one night, we get drunk... back rub turns into a front rub... The next morning, ""I've nEver felt this way about a Woman before."""
That's... quite a commitment you've made to jumping the girl I'd like to date.,I'd like to date her. In the sense that I'd like to jump her repeatedly.
I saw her first.,Seriously? You're invoking the guy code?
We're guys. It's a code.,You're only bringing this up 'cause you know you're gonna lose.
"It's not an infection, but it might be an autonomic nerve disorder.","The hair is still bumping me. Did you get it cut because you're ready for the next chapter or ""ï¿½"
We stuck a needle into his spinal bodies twice. His heart rate stayed normal. If we add that to his other symptoms...,That would be a mistake.
She's nEver gonna fall for it.,"Well, then, you got nothing to worry about, sweetie."
"Well, then, you got nothing to worry about, sweetie.",You're a wuss.
Say that when I'm better.,"What, are you gonna beat me up? That sounds stressful. Maybe you should pop one of your beta blockers first."
You have a heart pRoblem?,"Medically, no. He would have told us about that. Metaphorically..."
"It's an effect from operating outside of the law. Sometimes, I have to do bad things. And not always to bad people. Last few months, that hasn't been so easy. A guy got me the pills. And they control the stress. Look, don't ""ï¿½ don't say anything to Eddie. All right? The last thing I need is the guys thinking that I've gone soft.",When was your last pill before we originally admitted you?
"Um, the night before.","And we stuck you in here, and you went into beta blocker withdrawal. That's what caused the hypertension. When he got out of here, he took another pill, and the hypertension went away. Which means it was nEver a symptom. We take that off the table, we've got vertigo, fEver..."
!and stress. He's been in this game for a while. Either he grew a conscience over the last few months or he's producing excess adrenaline.,Pheochromocytoma.
What?,"It's Greek for, ""You'll be back doing bad things to good people in no time."" M.R.I. his adrenal glands. You're okay with that, right? You're not gonna put a pillow over his face?"
"Hi, James. We've got some kung pao left. Oh! God. Right there. Oh. Oh.",We're having a picnic... with wine.
I'll pour you a glass.,He doesn't drink.
And environmental is back at the top of our list of suspects. We're trying to narrow down the possibilities.,That receiver doesn't respond to Manual stimulation. Maybe if you took off your shirt.
"Most buildings there were built between 1920 and 1940. We're compiling a list of toxins most common ""ï¿½",There's got to be at least one open frequency.
There's got to be at least one open frequency.,I need a few minutes with your friend. Or stay if you want. Rectal exam.
I'll check out the cafeteria.,Why the beta blockers?
What do you mean?,Valium and Xanax actually reduce stress. Beta blockers just control the symptoms of stress.
Whoa.,"Keep the heart from racing, hands from shaking, and all those stage fright issues. That's why some people take them when they perform."
What the hell is that?,This is my bug. And this...
Um...,This... This is yours.
You bugged your own room? Are you... an inforMant?,An inforMant would have sold his pals out to us at the first sign of a sniffle. This guy... is a cop.
I don't see how this is relevant.,"In the land of no fun, you got a really sensible piece of property."
Give him a break. Knowing this guy's an undercover cop doesn't get us any closer to curing him.,Good point. You know what they say. Information is not power. Wait...
You're saying we should use the cop thing to force him to talk?,Force? I'm talking about the Womanly art of persuasion. I said Womanly.
"Any more clots keep forming, he may not last 24 hours.",And the moron still won't talk.
"Bad guy, cool; good guy, moron?",Pretty much.
Guy's a hero. He's risking his life to put these dealers in jail.,I'm sure the dealers who take their places will be very grateful.
Except that treating for Everything could kill him faster than whatEver's killing him.,Got a better idea?
"Yeah, private party, Man. Uh... I got it covered tonight. Nice.",The jealousy is... killing me.
Well... he clearly cares about you. Very much.,"Why can't he show it in a ""ï¿½ in a normal way? I'm so tired of... the whole silence and the resentment. I don't know if I can go back there tonight. I need some time."
Come stay at my place.,Really?
"Mm-hmm. It'll be fun. You know, like a ""ï¿½ like a sleepover.","That would ""ï¿½ that would be... It would be such a help. Thank you."
House.,What are you doing here?
I'm here because...,Nothing you can say is going to change anything.
I love this Man. And I am not wasting another moment of my life denying that. Gregory House... will you marry me?,Wow. This is unexpected.
I'm gonna go.,"No ""ï¿½ no, no, no."
"I didn't see any fungus at the location, and none of the samples ""ï¿½",Looks like somebody missed something. Which is embarrassing for somebody.
"And... the steroids we gave him would have suppressed his immune system. If that was a fungus, he'd have 30 aneurysms.",Somebody's got a good point.
We need to start him on antifungal meds before he drowns in his own blood.,Do it.
Want to grab some coffee?,Kind of a bad time.
"Sorry. Uh, you told me to drop by, so... This is when I could make it.","Right. This whole thing with Wilson... It's all my fault. We're not closeted, because we're not gay. For real. Wilson thought you were cute, and I was just yanking his chain. Maybe that's not the best phrasing."
So you were only spending time with me to screw with him?,"God, no. I was spending time with you because I want to touch your boobs. Enough to listen to Evita, twice. And I really hate Evita. That's how much I like your boobs. Wait. Whoa, whoa, whoa. Wait, wait. Wilson... he's a really good guy. And he really likes you."
"Well, it's really... It's sweet of you to stick up for your friend like that. And you're still trying to sleep with me. You know, maybe I will call him. It would serve you right.",Wilson's a jerk too.
"Well, at least he tried to do the right thing.","He's been divorced three times. He slept with a dying Patient. Sure, he looks like a boy scout, but then..."
"He's been divorced three times. He slept with a dying Patient. Sure, he looks like a boy scout, but then...","The aneurysms look mycotic, but they're not. They're inflammatory. Because this is not a fungal infection. The hypertension was a real symptom. You've been unwittingly treating it with beta blockers. You stopped taking them, and your blood pressure went up. It's Hughes-Stovin."
Are you sure?,"If you die in the next day or so, I will be."
I'm sorry about your Patient.,He died a hero in his own mind. Guess it's better than nothing.
Ran into Nora in the elevator. She no longer thinks we're gay. Now she thinks we're mendacious dirt bags.,Mendacious dirt bag comes much more naturally to me. Least we can get rid of that.
I kind of like it. Unlike this sofa.,It's 500 bucks. And... it reclines.
"I'll stop, if you get rid of the sofa.",No chance.
"27 year old female intense, intermittent ear pains, saw six doctors!",Tell her to stop lurking in the front row. If she wants to hit on musicians that's what tour buses are for. Next.
If I ask why were in Wilson's office is there any chance I'll get a straight answer?,Try it. Try it.
"14-year-old boy, joint pain and excess hair growth.","Tell him to masturbate, no more than 3 times daily. With meals. Next."
Did I mention that the 27-year-old female is really hot. And her husband is really not!,"Wild guess, he's rich."
Not unless social workers have begun pulling in the big money recently.,Gimme...
You're taking the case because she's hot?,"No, that would be an accident of genetics. It's because she's hot and her husband is ugly. It's a fascinating window into the mysteries of huMan psychology. Also, she's really hot."
"Or... She, you know, loves her husband.",She loves something about him.
"To a healthier diet, raw foods, lots of nuts.","It's not the ear, it's the heart. Her protein is cheese, which can raise cholesterol. Hers was already elevated. Gave her arterial blockages."
Cardiac arrhythmia presenting as ear pain. Very rare. Cool.,"So, beauty and the beast. Who wants to go see?"
You can't sleep in your own office? Or bedroom for that matter?,Got to avoid my natural habitat. Some idiot I went to med school with keeps leaving messages and wants to drop by for lunch.
So tell him no.,It's compliCated.
"It's too compliCated for you to tell someone you don't like, to screw off? That's practically your hobby.",A few months ago he was... sort of part of my therapy. My shrink told me to write a letter of apology to someone I hurt.
And how did you hurt him?,We were in a seminar on flatworm genetics. I switched my final paper with his.
You plagiarized? Doesn't sound like you.,"I was testing a theory. I thought that our professor was biased against me. I assumed he'd get a high grade with my paper and I'd get a low grade with his. Interestingly, I was wrong. I got an ""A.""ï¿½"
"So you're in this mental hospital, delving into your subconscious, and this is who you choose to apologize to?",Yep. Lorenzo Wibberly.
Of all the people in the world you've hurt?,Not Everyone has a name that's so easy to find in the white pages.
"Um... I'm in there, and so is Cuddy.","Yeah. And yet, I picked him. It's funny, isn't it?"
"Yes, it's hilarious. Great to see what a success your therapy was.",We said we'd nEver go to sleep angry.
Where are you?,Undisclosed location.
Who are you hiding from?,"Wilson. And the lunch date that Wilson is, no doubt, right now trying to sic on me. But in the great game of chess that is our relationship, Wilson sees only one move ahead. I see dozens. That is why he will nEver mate me. That's a chess term."
That's great. A co-worker confronted our Patient. Altered mental status. Basically accused her of poisoning him. We think he was projecting.,So he's poisoning her.
What could he get his hands on to cause supraventricular tachycardia?,"Does he have dry skin? Thin eyebrows? If you're sharing an amazed look, please do it louder."
He might have. How did you know that?,"If he has hypothyroidism and he dumped his meds in her coffee, that would make her heart go boom. In a bad way."
"Because she's a successful, happily married consultant, and he's a crazy, drunk weirdo who we just tossed out of the hospital.",And she's hot.
You don't think it's suspicious she didn't Even mention it to her husband?,"Yeah, Foreman. Why did you break up with Thirteen? Oh, no, wait, the non-subtextual thing she was saying, why that?"
"This is about the case, not some imaginary issue that you think Foreman and I have.","Great, start her on beta blockers."
Greg? Lorenzo Wibberly. Dr. Wilson said you'd be here. How ya been?,"Check, and mate."
"Look... I'm sorry this is awkward or whatEver. I just thought it was nice of you to write that letter, and I wanted to tell you that you don't have to feel bad.",Thanks. So where are you working these days? You got your own practice or you at a hospital?
"I thought you knew. Dani's, the organic supermarket chain.",As an in House doctor?
"I actually nEver got licensed. I didn't graduate med school. I planned on going back, and then my father got sick and I had to take care of him and had some bad luck.",Why didn't you graduate?
I was one credit short. And I was sort of already on academic pRobation. So...,Which credit?
"I got a, uh... He failed me on that paper you switched. I thought you knew.",So I'm guessing you're the CEO of this supermarket chain?
Why do you want to meet her so badly?,Psychopaths always fascinate me. I think it's their cultural literacy and strong family values. Or is that Jews?
We're not gonna be able to get an honest read on her unless we figure out a way to get the husband out of there.,"Hmm. I got an idea. Can you get out of here? Thanks. It was the ""thanks"" that did it."
"Hmm. I got an idea. Can you get out of here? Thanks. It was the ""thanks"" that did it.","Hi, I'm Dr. House. How long have you been a psychopath?"
Are you saying I'm like Ted Bundy or something?,"Psychopathy can get a bad rap. It doesn't necessarily mean you're violent. Just that you're completely without conscience, you lack any normal emotion, you Manipulate Everyone around you, you're promiscuous, you lie pathologically. Any of this ringing bells?"
Is that why you were asking me all those weird questions?,"Yeah ""ï¿½ though you have Darwin to thank for that. She got the creeps around you. Which oddly, is an actual medical phenomenon around psychopaths. PRobably an evolved response to predators."
"I'm sorry, you're really freaking me out. I have no idea what ""ï¿½",Relax. We have a duty of confidentiality. And you have an undiagnosed heart pRoblem that could kill you at any moment. We beliEve that your mental abnormality is related to your physical one. So if you want to keep on predating...
No. I gave him a little valium and an emetic.,"You sure you understand what the word ""no"" means?"
Same thing you get out of your job. Bill has a trust fund. And I have a prenup his parents made me sign.,Told you he was rich. She's not that weird.
She kind of reminds me of someone I know.,Tell me about it. Some of my co-workers will insult people right to their faces. How long have you been this way?
Just how I am. Are you gonna cure my heart pRoblems now?,So psychopathy plus cardiac arrhythmia. Go.
I thought you were bluffing to get information. You really think they're connected?,"Two rare conditions in one Patient, it's a fair assumption they are."
Psychopathy is generally just genetic. Nothing you can do about it. Something that hits 30 years after birth isn't gonna be connected.,Her disease isn't gonna lie dorMant that long. Did her heart warp her brain?
Maybe a handful of diseases.,It'll be super awesome when we find it.
Tertiary syphilis can cause pseudopsychopathic syndrome and cardiomyopathy.,"Fits best. Start her on penicillin, and rule out Wilson's and Hashimoto's. There's your handful. Wasn't so hard, was it?"
You've gotta do something about Thirteen. She flouted both my authority and yours.,"Yes, and she got it right and you got it wrong."
Which just aggravates the pRoblem. She'll do it again. Next time it won't work out so well. You gotta punish her.,"You're her boss. In some vague, nEver to be usefully defined way. You punish her."
"I'm also her ex, which, as you know, makes it a little compliCated.",The fact that you also fired her takes it from a little compliCated to a little moronic.
"It was the only way I could ""ï¿½","It wasn't because you were too in love with her. It was because you were too in love with your career. We're almost at my floor so I'll summarize. Your pRoblem, not mine."
You cut up my only copy of that photo.,That rare daguerreotype. You can charge me for the effort it takes to search your hard drive for a new copy.
Not the one of me and Lucas. The one from Ecuador.,Right. I had forgotten your deep emotional attachment to lemurs.
To my dad.,You got his tail?
He was holding the camera. That was the last trip we Ever took together. And I don't have a digital copy.,"Well, I could stand here all day apologizing, but I'd rather expiate my sins with good clean work."
"Well, I could stand here all day apologizing, but I'd rather expiate my sins with good clean work.",You ignoring my texts?
Ãl es un doctor de mediciÃ³n,Tambiï¿½n de la medicina Doctor Wilson me llamÃ³ a una consulta
Tambiï¿½n de la medicina Doctor Wilson me llamÃ³ a una consulta,Wibberly's got some agenda. PRobably trying to guilt me into getting him a better job.
How pissed was he?,Not at all. That's how I know he's got an agenda.
Me duele mucho,Entonces no te lo hubieras golpeado
"If you feel guilty, you should do something to help. You are responsible.",No te preocupes. El Dr. Wilson es un muy buen mï¿½dico.
Thanks.,Quiï¿½n tiene una enorme consideraciÃ³n por los pacientes por su propia batalla fatal con impotencia.
What?,"All I'm responsible for is the foreseeable consequences of switParkng papers. A bad grade or a sleepless night, worst case, a retest. There was no way to know that one seminar paper was gonna destroy this idiot's life."
"If there's any karma in all this, he's pRobably happier than you are.","Good point. If he's happier, there's no harm done. I'll go find out."
That is absolutely not what I said.,"Always with the modesty, this one."
"Always with the modesty, this one.","La siguiente vez que tu quieras drogarte secretamente y confundir tu dedo con un clavo, las gotas para los ojos son buen remedio, pero usa menos por eso es que estas llorando demasiado."
You want something to eat?,I'm cool. How's work? You happy with it?
You know... It's a job. I don't need to take any work home with me at least.,Free time... Wouldn't have any of that if you were a doctor.
Yeah. True. You like Parkli? I could reheat some.,Is that your yard? That's nice.
"Yeah. That sugar maple, 100 - 150 years old. Most beautiful leaves in the fall. Sitting underneath on the bench ""ï¿½ It's like paradise.","I don't have a yard, myself. You got a good thing going."
I know.,So what are the boxes for?
I'm moving.,From paradise?
"Well, my dad's medical bills and me being one of those idiots that got an adjustable mortgage. So!",You're losing your home.
"Hey, it could be worse, right?",How?
I don't know what happened.,"Neither do I, but I know what happened after. She called Cuddy and deManded that I kick you off the case. I backed you up, because I trust you. But you're gonna have to earn that trust now."
"Actually, he backed you up because of the new B.U.N. creatinine numbers. Brittle bones were from kidney failure.","There is that. So, heart and kidneys."
And brain.,"Nope, psychopathy is not a symptom."
It was yesterday.,"In the meantime, kidney failure ruled out syphilis and testing ruled out the other ideas that would've fit."
"Protein lEvels, kidneys, arrhythmia. Could be paraneoplastic. I'd say lymphoma.",Get her to radiotherapy.
Then how about partially accurate?,"Those of you who haven't slept together, you can go. Everyone else, stay behind."
"Oh. Sorry. That was our secret, right?",Go have sex.
"No, thanks.","Fine, I'll cover the Viagra and the lubricants. Just get me a receipt."
We have zero feelings for each other.,"Well, that's too bad, 'cause things worked much better when you did. Would it help if I slept with her?"
We were getting to a diagnosis.,"No, we were already at the diagnosis. You were creating a fake argument about an irrelevant treatment issue, 'cause you can't stand to be around each other. So have sex, fight or quit, I don't care. WhatEver you're doing now isn't working."
"Yeah, I'll do it now.","So when you watch Star Wars, which side do you root for?"
Dr. House. What are you doing?,Just checking in on your radiotherapy.
"From what I hear, you nEver visit Patients. And now, you've come to chat with me twice.",I want to know how you like being a Management consultant. I'm thinking of getting into it. That or psychopathy maybe. Which pays better?
I think you're already into one of them. Dr. Hadley made a joke yesterday. She said I sound like you.,"I'm sure you understand what ""joke""ï¿½ means."
